reaction_id,loopless_flux,standard_flux,delta
CYTK1,0.34575198397630325,0.34575198397630447,-1.2212453270876722e-15
CYTK2,0.0,0.0,0.0
CYTOM,0.0,0.0,0.0
Clt,0.0023181516460202348,0.0023181516460202434,-8.673617379884035e-18
Cobalt2abcppI,0.0,0.0,0.0
Cotpp,0.0,0.0,0.0
Cut1,0.0,0.0,0.0
D5KGK,0.0,0.0,0.0
D5KGPA,0.0,0.0,0.0
DAAOP,0.0,0.0,0.0
DABAAT2,0.0,0.0,0.0
DACL,0.0,0.0,0.0
DADK,0.0,0.0,0.0
DADNK,0.0,0.0,0.0
DADNK_1,0.0,0.0,0.0
DAGK,0.0,0.0,0.0
DAGK160,0.0,0.0,0.0
DAGK_BS,0.0,0.0,0.0
DALAALAD,0.0,0.0,0.0
DALADALAD,0.0,0.0,0.0
DALAGLYD,0.0,0.0,0.0
DALALEUD,0.0,0.0,0.0
DALAOX,0.0,0.0,0.0
DALAt2pp,0.0,0.0,0.0
DALAt2r,0.0,0.0,0.0
DAPAT,0.0,0.0,0.0
DAPDA,0.0,0.0,0.0
DAPDC,0.0,0.0,0.0
DAPE,0.004453701529337627,0.004453701529337642,-1.5612511283791264e-17
DASYN160,0.0,0.0,0.0
DASYN161,0.0,0.0,0.0
DASYN180,0.0,0.0,0.0
DASYN181,0.0,0.0,0.0
DATPHs,0.0,0.0,0.0
DB4PS,0.0,0.0,0.0
DCAtex,0.0,0.0,0.0
DCMPDA,0.0,0.0,0.0
DCYTD,0.07583317594003179,0.07583317594003203,-2.3592239273284576e-16
DCYTt2,0.07583317594003178,0.07583317594003203,-2.498001805406602e-16
DDCAtexi,0.0,0.0,0.0
DDGLCNt2r,0.0,0.0,0.0
DDGLK,0.0,0.0,0.0
DDPA,0.0,0.0,0.0
DGK1,0.0,0.0,0.0
DGNSK,0.0,0.0,0.0
DGNSK_1,0.0,0.0,0.0
DGUNC,0.0,0.0,0.0
DH23t,0.0,0.0,0.0
DHACOAH,0.0,0.0,0.0
DHAD1,0.0,0.0,0.0
DHAD2,0.0,0.0,0.0
DHAD3,0.0,0.0,0.0
DHAK,0.0,0.0,0.0
DHAPT,0.0,0.0,0.0
DHBD,0.0,0.0,0.0
DHBSZ3FEexs,0.0,0.0,0.0
DHDPRy,0.0044537015293376276,0.004453701529337643,-1.5612511283791264e-17
DHDPS,0.0044537015293376276,0.004453701529337644,-1.6479873021779667e-17
DHFR,0.011951508053977522,0.011951508053977565,-4.336808689942018e-17
DHFS,0.0,0.0,0.0
DHNAOT_1,4.453701529337627e-05,4.453701529337643e-05,-1.6263032587282567e-19
DHNCOAS,0.0,0.0,0.0
DHNCOAT,0.0,0.0,0.0
DHNPA_1,0.0,0.0,0.0
DHORDi,0.0,0.0,0.0
DHORTS,0.0,0.0,0.0
DHPACCOAHIT,0.0,0.0,0.0
DHPPDA,0.0,0.0,0.0
DHPS,0.0,0.0,0.0
DHPTDCs2,0.0,0.0,0.0
DHQS,0.0,0.0,0.0
DHQTi,0.0,0.0,0.0
DINSK,0.0,0.0,0.0
DIPEPabc1,0.0,0.0,0.0
DIPEPabc10,0.0,0.0,0.0
DIPEPabc12,0.0,0.0,0.0
DIPEPabc13,0.0,0.0,0.0
DIPEPabc14,0.0,0.0,0.0
DIPEPabc15,0.0,0.0,0.0
DIPEPabc3,0.0,0.0,0.0
DIPEPabc8,0.0,0.0,0.0
DKDID,0.0,0.0,0.0
DKMD2K,0.0,0.0,0.0
DM1PE,0.0,0.0,0.0
DMATT,4.453701529337627e-05,4.4537015293376426e-05,-1.5585406229479126e-19
DMPPS,4.453701529337627e-05,4.453701529337643e-05,-1.6263032587282567e-19
DNADDP,0.0,0.0,0.0
DNMPPA,0.0,0.0,0.0
DNTAep,0.0,0.0,0.0
DNTPPA,0.0,0.0,0.0
DPCOAK,0.0002565332080898385,0.0002565332080898646,-2.6075062248276382e-17
DPR,0.0,0.0,0.0
DRBK,0.0,0.0,0.0
DRIBabc,0.0,0.0,0.0
DRPA,0.07583317594003179,0.07583317594003203,-2.3592239273284576e-16
DSERDHr,0.0,0.0,0.0
DSERt2,0.0,0.0,0.0
DSERt2pp,0.0,0.0,0.0
DSERtex,0.0,0.0,0.0
DTMPK,0.011653555421664833,0.011653555421664874,-4.163336342344337e-17
DURIK1,0.0,0.0,0.0
DURIPP,0.07583317594003179,0.07583317594003204,-2.498001805406602e-16
DURIPP_1,0.0,0.0,0.0
DUTPDP,0.0,0.0,0.0
DXPRIi,0.0003562961223470101,0.00035629612234701146,-1.3552527156068805e-18
DXPS,0.00035629612234701016,0.00035629612234701146,-1.3010426069826053e-18
E4PD,0.0,0.0,0.0
ECOAH1,0.003384813162296595,0.003384813162296607,-1.214306433183765e-17
ECOAH1_1,0.0,0.0,0.0
ECOAH2,0.002315924795255566,0.002315924795255574,-8.239936510889834e-18
ECOAH2c,0.0,0.0,0.0
ECOAH3,0.002315924795255566,0.002315924795255574,-8.239936510889834e-18
ECOAH4,0.002315924795255566,0.002315924795255574,-8.239936510889834e-18
ECOAH5,0.0,0.0,0.0
ECOAH5_1,0.002315924795255566,0.002315924795255574,-8.239936510889834e-18
ECOAH6,0.0023159247952555654,0.0023159247952555737,-8.239936510889834e-18
ECOAH7,0.0017814806117350504,0.0017814806117350571,-6.7220534694101275e-18
ECOAH8,0.0,0.0,0.0
ECOAH9ir,0.0,0.0,0.0
EDA,0.0,0.0,0.0
ENO,9.999999999999986,10.0,-1.4210854715202004e-14
ETHSO3abcpp,0.0,0.0,0.0
ETHSO3tex,0.0,0.0,0.0
