reaction_id,reaction_name,imbalance,distance_from_PHB
DHBD,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",{'H': 1.0},2
DHAD3,Dihydroxy acid dehydratase  2 3 dihydroxy 3 methylpentanoate,{'H': -1.0},2
DHACOAH,"2,3-dehydroadipyl-CoA hydratase",{'H': 5.0},2
DGUNC,Diguanylate cyclase,{'H': -2.0},2
DB4PS,"3,4-Dihydroxy-2-butanone-4-phosphate synthase",{'H': -1.0},2
AGPAT160,1-hexadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:0),{'H': -1.0},2
DHNCOAS,"1,4-dihydroxy-2-napthoyl-CoA synthase",{'H': 5.0},2
AGM3PH,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide beta -1,4-N-acetylglucosaminidase",{'H': 2.0},2
AGM3PApp,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide amidase (periplasm),{'H': 2.0},2
DAGK_BS,Diacylglycerol kinase,{'H': -2.0},2
DAGK,Diacylglycerol kinase,{'H': -2.0},2
DACL,,{'H': 3.0},2
D5KGPA,2-Deoxy-5-keto-D-gluconate 6-phosphate aldolase,{'H': 3.0},2
D5KGK,2-Deoxy-5-Keto-D-gluconate kinase,{'H': -3.0},2
CYSK2_I,O-Phospho-L-Serine-dependent S-Suflocysteine Synthase,{'H': 1.0},2
EDA,2-dehydro-3-deoxy-phosphogluconate aldolase,{'H': -2.0},2
ADPRDP,ADPribose diphosphatase,{'H': -2.0},2
ADPDA,N6 acetyl LL 2 6 diaminoheptanedioate amidohydrolase,{'H': 1.0},2
ADMDC,Adenosylmethionine decarboxylase,{'H': 2.0},2
ADK2,Adenylate kinase (Inorganic triphosphate),{'H': 4.0},2
ACSERHS,O3-Acetyl-L-serine acetate-lyase (adding hydrogen sulfide),{'H': 2.0},2
ACPpds,[acyl-carrier-protein] phosphodiesterase,{'H': 1.0},2
FA80ACPHi,Fatty-acyl-ACP hydrolase,{'H': -2.0},2
DKMD2K,1 2 dihydroxy 3 keto 5 methylthiopentene dioxygenase  2 keto 4 methylthiobutyrate,{'H': 2.0},2
ECOAH8,3-hydroxyacyl-CoA dehydratase (3-hydroxyoctadecanoyl-CoA),{'H': 4.0},2
ECOAH6,3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA),{'H': -4.0},2
ECOAH5_1,3 hydroxyacyl CoA dehydratase  3 hydroxydodecanoyl CoA,{'H': -4.0},2
ECOAH2c,Enoyl CoA hydratase  bacterial,{'H': -3.0},2
DRPA,Deoxyribose-phosphate aldolase,{'H': -2.0},2
DNTPPA,Dihydroneopterin triphosphate pyrophosphatase,{'H': -2.0},2
DNMPPA,Dihydroneopterin monophosphate dephosphorylase,{'H': 2.0},2
DM1PE,2 3 diketo 5 methylthiopentyl 1 phosphate enolase,{'H': -3.0},2
CDPPT160,CDPPT160,{'H': -1.0},3
